doc_id,count_words,count_sentences,count_pos,count_neg,calculate_words,calculate_sentences,calculate_pos,calculate_neg
79529,61,1,1,7,61,1,12.0,185.0
79530,37,1,5,2,37,1,97.0,75.0
79531,238,9,31,15,238,9,1238.0,474.0
79532,20,1,0,0,20,1,0,0
79533,36,1,2,3,36,1,108.0,55.0
79534,23,1,0,2,23,1,0.0,49.0
79535,31,1,0,0,31,1,0,0
79536,21,5,0,0,21,5,0,0
79537,13,1,0,2,13,1,0,3
79538,24,1,1,0,24,1,-15.0,0.0
79539,7,1,0,1,7,1,0,1
79540,13,1,0,0,13,1,0,0
79541,19,3,0,1,19,3,0.0,3.0
79542,19,1,2,2,19,1,23,13
79543,19,2,0,0,19,2,0,0
79544,37,1,2,2,37,1,34.0,149.0
79545,59,4,2,8,59,4,20.0,87.0
79546,10,1,0,1,10,1,0,2
79547,30,1,1,5,30,1,14,62
79548,21,4,2,1,21,4,5.0,6.0
79549,127,4,13,2,127,4,385.0,21.0
79550,19,1,2,1,19,1,22,5
79551,21,1,2,0,21,1,28,0
79552,34,1,5,2,34,1,114.0,35.0
79553,26,2,1,0,26,2,-5.0,0.0
79554,37,1,4,5,37,1,87.0,27.0
79555,37,1,3,1,37,1,78,25
79556,10,1,0,0,10,1,0,0
79557,11,1,0,1,11,1,0,2
79558,17,1,0,0,17,1,0,0
79559,22,1,1,1,22,1,3,4
79560,25,1,2,2,25,1,25,20
79561,75,1,3,3,75,1,372.5,58.0
79562,34,1,4,3,34,1,65.0,46.0
79563,48,1,4,3,48,1,55.0,80.0
79564,41,1,8,3,41,1,207.0,51.0
79565,24,1,0,1,24,1,0.0,144.0
79566,7,1,0,0,7,1,0,0
79567,20,1,0,2,20,1,0,31
79568,14,1,2,0,14,1,-5.0,0.0
79569,31,1,0,1,31,1,0.0,168.0
79570,29,1,2,3,29,1,2.0,25.0
79571,53,1,0,1,53,1,0,48
79572,5,1,0,0,5,1,0,0
79573,71,3,2,4,71,3,24.0,107.0
79574,11,1,0,0,11,1,0,0
79575,65,1,8,3,65,1,337.0,102.0
79576,8,1,1,0,8,1,2,0
79577,21,1,1,1,21,1,-8.0,35.0
79578,28,1,0,2,28,1,0.0,39.0
79579,29,2,2,3,29,2,35,59
79580,5,1,0,0,5,1,0,0
79581,11,1,0,2,11,1,0,3
79582,27,3,2,0,27,3,-5.0,0.0
79583,195,14,4,8,195,14,10.0,51.0
79584,44,1,2,6,44,1,5.0,174.0
79585,47,1,2,6,47,1,5.0,174.0
79586,18,1,3,1,18,1,37,9
79587,9,1,0,0,9,1,0,0
79588,61,4,0,5,61,4,0,42
79589,63,1,13,7,63,1,628.0,207.0
79590,66,4,1,3,66,4,0.0,113.5
79591,19,1,0,1,19,1,0,4
79592,26,1,3,0,26,1,12.0,0.0
79593,16,1,0,2,16,1,0,21
79594,37,2,0,4,37,2,0,41
79595,9,1,2,1,9,1,-2.0,1.0
79596,21,1,2,1,21,1,27,13
79597,13,1,0,2,13,1,0.0,12.0
79598,18,1,2,0,18,1,25.0,0.0
79599,28,1,3,0,28,1,38,0
79600,12,1,0,1,12,1,0,2
79601,25,3,1,2,25,3,6,4
79602,29,1,0,3,29,1,0.0,-8.0
79603,11,1,0,0,11,1,0,0
79604,14,1,1,2,14,1,7.0,36.0
79605,13,1,0,2,13,1,0,8
79606,30,2,0,0,30,2,0,0
79607,12,1,0,0,12,1,0,0
79608,19,1,0,0,19,1,0,0
79609,9,2,1,2,9,2,3,6
79610,39,2,4,1,39,2,45.0,57.0
79611,20,2,0,3,20,2,0.0,6.0
79612,12,1,1,1,12,1,6,3
79613,14,1,1,2,14,1,8,21
79614,43,1,2,0,43,1,52.0,0.0
79615,8,1,0,1,8,1,0,4
79616,10,1,0,1,10,1,0,6
79617,10,1,1,0,10,1,6,0
79618,24,1,1,0,24,1,18,0
79619,18,1,2,3,18,1,35.0,25.0
79620,18,1,0,2,18,1,0,11
79621,42,1,0,1,42,1,0.0,-36.0
79622,91,4,9,5,91,4,232.0,81.0
79623,8,1,1,0,8,1,3,0
79624,24,1,2,1,24,1,32,23
79625,7,1,1,0,7,1,2,0
79626,16,1,0,2,16,1,0.0,9.0
79627,114,1,16,2,114,1,1536.0,157.0
79628,31,1,0,1,31,1,0.0,-3.0
79629,18,1,0,1,18,1,0.0,4.0
79630,9,2,0,0,9,2,0,0
79631,37,1,2,1,37,1,20.0,5.0
79632,49,3,4,2,49,3,56,19
79633,5,1,0,1,5,1,0,2
79634,11,1,1,0,11,1,6,0
79635,28,1,1,3,28,1,22,27
79636,19,1,2,1,19,1,49.0,8.0
79637,10,1,0,1,10,1,0,8
79638,63,1,7,3,63,1,140.0,117.0
79639,92,7,9,4,92,7,88.0,76.0
79640,59,2,1,4,59,2,22.0,69.0
79641,22,1,0,4,22,1,0,63
79642,16,1,0,1,16,1,0,9
79643,10,1,0,1,10,1,0,8
79644,11,1,2,0,11,1,13,0
79645,16,1,0,1,16,1,0,2
79646,8,1,0,0,8,1,0,0
79647,134,2,4,6,134,2,85.0,365.0
79648,52,1,4,1,52,1,121,8
79649,24,1,0,1,24,1,0,21
79650,11,1,1,1,11,1,3,1
79651,129,1,2,7,129,1,21.0,346.0
79652,23,1,2,1,23,1,22,16
79653,13,1,0,0,13,1,0,0
79654,10,1,2,0,10,1,5,0
79655,32,1,2,4,32,1,34.0,12.0
79656,20,1,4,0,20,1,-3.0,0.0
79657,73,2,7,5,73,2,276.0,183.0
79658,24,2,0,0,24,2,0,0
79659,42,1,0,2,42,1,0,51
79660,12,1,0,0,12,1,0,0
79661,31,1,7,1,31,1,107.0,14.0
79662,8,1,0,0,8,1,0,0
79663,29,1,4,6,29,1,62.0,99.0
79664,9,1,0,3,9,1,0,16
79665,13,1,0,1,13,1,0,5
79666,8,1,0,1,8,1,0,3
79667,28,1,4,2,28,1,139.0,16.0
79668,12,1,1,1,12,1,6.0,8.0
79669,17,1,1,1,17,1,16.0,0.0
79670,56,1,3,2,56,1,174.0,23.0
79671,24,1,2,0,24,1,33,0
79672,117,1,21,3,117,1,880.0,105.0
79673,9,1,1,2,9,1,4,8
79674,10,1,0,0,10,1,0,0
79675,105,17,7,4,105,17,44.0,13.0
79676,55,1,2,2,55,1,-9.0,96.0
79677,41,1,0,2,41,1,0,59
79678,41,2,3,1,41,2,39,8
79679,16,1,0,1,16,1,0,1
